"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "CSS", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\A\TravelX-Website\README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 13, 35
"c:\Users\A\TravelX-Website\ang\angular.json", "JSON", 117, 0, 0, 0, 0, 0, 0, 0, 19, 1, 137
"c:\Users\A\TravelX-Website\ang\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 0, 6, 2, 32
"c:\Users\A\TravelX-Website\ang\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\Users\A\TravelX-Website\ang\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\A\TravelX-Website\ang\e2e\tsconfig.json", "JSON with Comments", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\A\TravelX-Website\ang\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 2, 2, 33
"c:\Users\A\TravelX-Website\ang\package-lock.json", "JSON", 13349, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13350
"c:\Users\A\TravelX-Website\ang\package.json", "JSON", 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\A\TravelX-Website\ang\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 6, 5, 17
"c:\Users\A\TravelX-Website\ang\src\app\aboutus\aboutus.component.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 0, 1, 9, 40
"c:\Users\A\TravelX-Website\ang\src\app\aboutus\aboutus.component.html", "HTML", 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 41
"c:\Users\A\TravelX-Website\ang\src\app\aboutus\aboutus.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\aboutus\aboutus.component.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 7, 24
"c:\Users\A\TravelX-Website\ang\src\app\aboutus\links\links.component.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\A\TravelX-Website\ang\src\app\aboutus\links\links.component.html", "HTML", 0, 0, 0, 0, 0, 100, 0, 0, 0, 24, 124
"c:\Users\A\TravelX-Website\ang\src\app\aboutus\links\links.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\aboutus\links\links.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\A\TravelX-Website\ang\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 1, 8, 48
"c:\Users\A\TravelX-Website\ang\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\TravelX-Website\ang\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 6
"c:\Users\A\TravelX-Website\ang\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\A\TravelX-Website\ang\src\app\app.component.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 3, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\app.module.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 3, 4, 97
"c:\Users\A\TravelX-Website\ang\src\app\article\article-create\article-create.component.css", "CSS", 0, 0, 0, 0, 46, 0, 0, 0, 46, 10, 102
"c:\Users\A\TravelX-Website\ang\src\app\article\article-create\article-create.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 0, 5, 1, 48
"c:\Users\A\TravelX-Website\ang\src\app\article\article-create\article-create.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\article\article-create\article-create.component.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 1, 14, 60
"c:\Users\A\TravelX-Website\ang\src\app\article\article-edit\article-edit.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\A\TravelX-Website\ang\src\app\article\article-edit\article-edit.component.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\A\TravelX-Website\ang\src\app\article\article-edit\article-edit.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\article\article-edit\article-edit.component.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 12, 75
"c:\Users\A\TravelX-Website\ang\src\app\article\article.component.css", "CSS", 0, 0, 0, 0, 43, 0, 0, 0, 16, 0, 59
"c:\Users\A\TravelX-Website\ang\src\app\article\article.component.html", "HTML", 0, 0, 0, 0, 0, 50, 0, 0, 1, 3, 54
"c:\Users\A\TravelX-Website\ang\src\app\article\article.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\article\article.component.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 1, 4, 34
